backbone,task,metric,single,dual,delta,ci_lo,ci_hi,p_value,test,mcnemar_table,n_subjects,q_value_BH,sig_fdr_0.05
resnet3d,OA,AUC,0.880653,0.865734,-0.014918,-0.069812,0.040762,0.587941205879412,paired_bootstrap,,98,0.705529,False
resnet3d,OA,Acc,0.795918,0.816327,0.020408,-0.05102,0.091837,0.79052734375,mcnemar_exact,"[[72, 8], [6, 12]]",98,0.837029,False
resnet3d,OA,F1,0.850746,0.873239,0.022493,-0.02895,0.078231,0.39036096390360964,paired_bootstrap,,98,0.585541,False
resnet3d,KL,M-AUC,0.672506,0.794386,0.12188,0.050934,0.192473,0.0013998600139986002,paired_bootstrap,,98,0.006299,True
resnet3d,KL,Acc,0.367347,0.581633,0.214286,0.102041,0.326531,0.0005999400059994001,paired_bootstrap,,98,0.0036,True
resnet3d,KL,M-F1,0.288105,0.496006,0.207901,0.117659,0.297154,0.00019998000199980003,paired_bootstrap,,98,0.0036,True
m3t,OA,AUC,0.792075,0.917483,0.125408,0.048387,0.207601,0.0005999400059994001,paired_bootstrap,,98,0.0036,True
m3t,OA,Acc,0.72449,0.795918,0.071429,-0.020408,0.163265,0.18924713134765625,mcnemar_exact,"[[64, 14], [7, 13]]",98,0.378682,False
m3t,OA,F1,0.805755,0.848485,0.042729,-0.021133,0.108419,0.19758024197580243,paired_bootstrap,,98,0.378682,False
m3t,KL,M-AUC,0.722577,0.77562,0.053043,-0.004237,0.109547,0.07079292070792921,paired_bootstrap,,98,0.212379,False
m3t,KL,Acc,0.387755,0.459184,0.071429,-0.030612,0.173469,0.21037896210378962,paired_bootstrap,,98,0.378682,False
m3t,KL,M-F1,0.357966,0.46684,0.108874,0.007526,0.206838,0.0331966803319668,paired_bootstrap,,98,0.119508,False
mamba,OA,AUC,0.85035,0.819114,-0.031235,-0.114712,0.050092,0.4627537246275372,paired_bootstrap,,98,0.607497,False
mamba,OA,Acc,0.755102,0.704082,-0.05102,-0.163265,0.061224,0.47249761400068846,mcnemar_chi2+continuity,"[[56, 13], [18, 11]]",98,0.607497,False
mamba,OA,F1,0.803279,0.8,-0.003279,-0.087635,0.080705,0.9353064693530647,paired_bootstrap,,98,0.935306,False
mamba,KL,M-AUC,0.749087,0.712576,-0.036511,-0.091359,0.015591,0.1713828617138286,paired_bootstrap,,98,0.378682,False
mamba,KL,Acc,0.387755,0.326531,-0.061224,-0.183673,0.061224,0.34436556344365565,paired_bootstrap,,98,0.563507,False
mamba,KL,M-F1,0.245608,0.230623,-0.014985,-0.100432,0.066269,0.7115288471152885,paired_bootstrap,,98,0.80047,False
